attributes,Id,AccountNumber,Phone,Fax,Website,Industry,Name,Type,BillingStreet,BillingCity
"{'type': 'Account', 'url': '/services/data/v54.0/sobjects/Account/001IR00001pDhKHYA0'}",001IR00001pDhKHYA0,CC978213,(650) 867-3450,(650) 867-9895,www.genepoint.com,Biotechnology,GenePoint,Customer - Channel,"345 Shoreline Park
Mountain View, CA 94043
USA",Mountain View
"{'type': 'Account', 'url': '/services/data/v54.0/sobjects/Account/001IR00001pDhKFYA0'}",001IR00001pDhKFYA0,CD355119-A,+44 191 4956203,+44 191 4956620,http://www.uos.com,Energy,"United Oil & Gas, UK",Customer - Direct,"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",
"{'type': 'Account', 'url': '/services/data/v54.0/sobjects/Account/001IR00001pDhKGYA0'}",001IR00001pDhKGYA0,CD355120-B,(650) 450-8810,(650) 450-8820,http://www.uos.com,Energy,"United Oil & Gas, Singapore",Customer - Direct,"9 Tagore Lane
Singapore, Singapore 787472
Singapore",Singapore
"{'type': 'Account', 'url': '/services/data/v54.0/sobjects/Account/001IR00001pDhK7YAK'}",001IR00001pDhK7YAK,CD451796,(512) 757-6000,(512) 757-9000,http://edgecomm.com,Electronics,Edge Communications,Customer - Direct,"312 Constitution Place
Austin, TX 78767
USA",Austin
"{'type': 'Account', 'url': '/services/data/v54.0/sobjects/Account/001IR00001pDhK8YAK'}",001IR00001pDhK8YAK,CD656092,(336) 222-7000,(336) 222-8000,www.burlington.com,Apparel,Burlington Textiles Corp of America,Customer - Direct,525 S. Lexington Ave,Burlington
"{'type': 'Account', 'url': '/services/data/v54.0/sobjects/Account/001IR00001pDhK9YAK'}",001IR00001pDhK9YAK,CC213425,(014) 427-4427,(014) 427-4428,www.pyramid.com,Construction,Pyramid Construction Inc.,Customer - Channel,2 Place Jussieu,Paris
"{'type': 'Account', 'url': '/services/data/v54.0/sobjects/Account/001IR00001pDhKAYA0'}",001IR00001pDhKAYA0,CC634267,(785) 241-6200,(785) 241-6201,dickenson-consulting.com,Consulting,Dickenson plc,Customer - Channel,1301 Hoch Drive,Lawrence
"{'type': 'Account', 'url': '/services/data/v54.0/sobjects/Account/001IR00001pDhKBYA0'}",001IR00001pDhKBYA0,CD439877,(312) 596-1000,(312) 596-1500,www.grandhotels.com,Hospitality,Grand Hotels & Resorts Ltd,Customer - Direct,"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",Chicago
"{'type': 'Account', 'url': '/services/data/v54.0/sobjects/Account/001IR00001pDhKDYA0'}",001IR00001pDhKDYA0,CC947211,(503) 421-7800,(503) 421-7801,www.expressl&t.net,Transportation,Express Logistics and Transport,Customer - Channel,"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",Portland
"{'type': 'Account', 'url': '/services/data/v54.0/sobjects/Account/001IR00001pDhKEYA0'}",001IR00001pDhKEYA0,CD736025,(520) 773-9050,(520) 773-9060,www.universityofarizona.com,Education,University of Arizona,Customer - Direct,"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",Tucson
"{'type': 'Account', 'url': '/services/data/v54.0/sobjects/Account/001IR00001pDhKCYA0'}",001IR00001pDhKCYA0,CD355118,(212) 842-5500,(212) 842-5501,http://www.uos.com,Energy,United Oil & Gas Corp.,Customer - Direct,"1301 Avenue of the Americas 
New York, NY 10019
USA",New York
"{'type': 'Account', 'url': '/services/data/v54.0/sobjects/Account/001IR00001pDhKIYA0'}",001IR00001pDhKIYA0,,(415) 901-7000,(415) 901-7002,www.sforce.com,,sForce,,The Landmark @ One Market,San Francisco
"{'type': 'Account', 'url': '/services/data/v54.0/sobjects/Account/001IR00001oFODIYA4'}",001IR00001oFODIYA4,,,,,,Sample Account for Entitlements,,,
